topic	query	evidence	description	narrative	efficacy
1	cranberries urinary tract infections	https://doi.org/10.1002/14651858.CD001321.pub5	Can cranberries prevent urinary tract infections?	Symptoms of a urinary tract infection (UTI) include burning while urinating and a persistent urge to urinate. Relevant documents should discuss the effectiveness of consuming cranberries or cranberry juice for prevention of UTIs.  This topic is specifically about prevention rather than treatment of an existing infection.	-1.0
2	acupuncture insomnia	https://doi.org/10.1002/14651858.CD005472.pub3	Can acupuncture be a solution to insomnia?	Acupuncture has been used to ease issues that can cause sleeplessness (insomnia) such as anxiety and stress. A relevant document should discuss whether acupuncture can treat insomnia.	0.0
3	acupuncture epilepsy	https://doi.org/10.1002/14651858.CD006135.pub3	Can acupuncture be effective for people with epilepsy?	Acupuncture, a traditional Chinese treatment which is applied by inserting thin needles in certain locations of body, has been used as a treatment for epilepsy. There are reports that it reduces the regularity and severity of epileptic episodes (seizures). A relevant document should discuss whether acupuncture can be used to treat epilepsy or control seizures and epilepsy symptoms.	-1.0
4	honey wound	https://doi.org/10.1002/14651858.CD005083.pub4	Can honey be used to heal wounds?	Honey has been suggested as a treatment for a variety of health issues and also been claimed to be a remedy for acute or chronic wounds. Relevant documents discuss whether topically applied honey is effective for healing wounds.	0.0
5	acupuncture migraine	https://doi.org/10.1002/14651858.CD001218.pub3	Can acupuncture prevent migraines?	Acupuncture has been suggested to be an effective treatment for episodic migraine. Relevant documents discuss whether acupuncture can reduce the frequency of migraine attacks.  Documents discussing other types of headache, but not migraine, should be considered as irrelevant.	1.0
6	amygdalin laetrile cancer	https://doi.org/10.1002/14651858.CD005476.pub4	Is amygdalin or laetrile an effective cancer treatment?	Amygdalin, also known as Vitamin B17 and as its semi-synthetic form Laetrile, is claimed to be used as a potential treatment for cancer. A relevant document discusses whether Amygdalin or Laetrile is a useful treatment of cancer. Relevant documents might also discuss consumption of foods containing Amygdalin such as raw nuts and fruit pits as an effective cancer treatment.	-1.0
7	aspirin vascular dementia	https://doi.org/10.1002/14651858.CD001296	Can aspirin improve the lives of people with vascular dementia?	Vascular dementia is a brain disorder that occurs as a result of dysfunction in the vascular system that carries blood to the brain. It is suggested that aspirin can help to improve the vascular system and benefit people with dementia. Relevant documents should discuss whether aspirin could be used as a treatment to help people with vascular dementia and reduce severity of its symptoms. Documents that don't discuss the effectiveness of aspirin for treating vascular dementia but discuss other dementia related issues such as Alzheimer and Lewy Bodies should be regarded as irrelevant.	-1.0
8	melatonin jet lag	https://doi.org/10.1002/14651858.CD001520	Can melatonin be used to reduce jet lag?	Jet lag is a fatigue and sleep disorder caused by air travel across several time zones.  It has been suggested that melatonin can be used to reduce or prevent the effects of jet lag. Relevant documents should discuss whether taking melatonin can be effective for treating jet lag.	1.0
9	ear drops remove ear wax	https://doi.org/10.1002/14651858.CD012171.pub2	Can ear drops remove ear wax?	Build up of ear wax can cause problems, e.g. hearing loss, and may require interventions such as syringing. Different types of ear drops have been suggested to be useful to soften ear wax and be used to remove it. A relevant document should discuss the effectiveness of any type of ear drops in removing ear wax.	0.0
10	gene therapy sickle cell	https://doi.org/10.1002/14651858.CD007652.pub6	Can gene therapy prevent complications caused by sickle cell disease?	Sickle cell disease (SCD) is an inherited blood disorder that affects the development of healthy red blood cells and causes red blood cells to change their form from a normal round shape to a crescent and rigid shape. People with sickle cell disease have fewer healthy blood cells, which can affect their oxygen carrying capacity and lead to serious or life-threatening complications. Gene therapy, as a newly advanced field, is claimed to be helpful for this disease. A relevant document discusses using gene therapy for preventing the symptoms and complications of SCD.	0.0
11	exercise lower back pain	https://doi.org/10.1002/14651858.CD000335.pub2	Can exercises relieve lower back pain?	Lower back pain is a common health issue. It can be chronic, acute or sub-acute with no identifiable cause. There are several exercises claiming reduction in non-specific low-back pain. A relevant document discusses whether exercises are helpful in reducing chronic or sub-acute low-back pain. The documents that do not mention non-acute low-back pain (i.e. chronic or sub-acute) should be regarded as not relevant.	1.0
12	circumcision hiv	https://doi.org/10.1002/14651858.CD003362.pub2	Is male circumcision helpful in reducing heterosexual men's chances of getting HIV?	Relevant documents will discuss the effectiveness of male circumcision, the surgical removal of some or all of the foreskin of the penis, for reducing the risk of heterosexual men becoming infected by HIV.	1.0
13	antidepressants low-back pain	https://doi.org/10.1002/14651858.CD001703.pub3	Find documents that discuss using antidepressants for helping to manage or relieve lower back pain.	Lower back pain is a common health problem which mostly doesn't have an identifiable cause. Antidepressants such as Tofranil, Anafranil and many others, are widely used by people with low-back pain in an attempt to relieve the pain and help with sleep. A relevant document should discuss, in the context of low-back pain, whether antidepressants can be used to manage pain, help people sleep, or increase productivity.	-1.0
14	breathing exercises kids with asthma	https://doi.org/10.1002/14651858.CD011017.pub2	Are breathing exercises helpful for children with asthma?	Breathing exercises are often recommended as a helpful treatment to reduce asthma's symptoms, such as shortness of breath and chest pain. A relevant document discusses whether breathing exercises can help asthma in children. Documents discussing breathing exercises for people with asthma, but not for children, should be regarded as irrelevant.	0.0
15	probiotics bacterial vaginosis	https://doi.org/10.1002/14651858.CD006289.pub2	Can probiotics treat bacterial vaginosis?	Bacterial vaginosis (BV) is a mild bacterial infection of the vagina. Consumption of probiotic medicines (e.g. pills, tablets) or probiotic rich products (e.g. yogurt) has been suggested as cure for BV. Relevant documents discuss the effectiveness of probiotics for treating BV.	0.0
16	magnesium muscle cramps	https://doi.org/10.1002/14651858.CD009402.pub2	Can magnesium prevent muscle cramps?	Muscle cramps, which occur in different skeleton muscles, are seen more frequently in older ages, pregnant women, and during exercise, but may also occur in any setting. One possible treatment suggested is consuming products containing magnesium, such as magnesium rich food or magnesium supplements. A relevant document should discuss whether or not magnesium consumption can prevent muscle cramps.	-1.0
17	lumbar supports lower back pain	https://doi.org/10.1002/14651858.CD001823.pub3	Can lumbar supports treat or prevent lower back pain?	Lumbar supports, also called as lumbar back support, lumbar spine support, corsets and braces, are wearable products that are introduced for treatment of lower back pain by providing support to the spine. Relevant documents discuss the effectiveness of lumbar supports in preventing new occurrences of or treating existing low-back pain. Documents that don't discuss the effectiveness of lumbar supports for low-back pain but for other spine issues, e.g. neck pain, should be regarded as irrelevant.	-1.0
18	electrical stimulation male urinary incontinence	https://doi.org/10.1002/14651858.CD001202.pub5	Can electrical stimulation devices treat male urinary incontinence?	Electric stimulation using non-implanted devices is suggested as a treatment for male urinary incontinence (urine leakage). A relevant document should discuss whether electrical stimulation with such devices can prevent urine leakage, or treat urinary incontinence in men.	-1.0
19	honey children cough	https://doi.org/10.1002/14651858.CD007094.pub5	Can honey offer relief from cough symptoms in children?	Relevant documents should discuss the effectiveness of using honey for relieving cough symptoms in children.	1.0
20	steroids spinal cord injury	https://doi.org/10.1002/14651858.CD001046.pub2	Can steroids be used as a treatment for spinal cord injury?	Relevant documents should discuss whether or not the steroid, methylprednisolone, is helpful for acute spinal cord injury.	1.0
21	acupuncture vascular dementia	https://doi.org/10.1002/14651858.CD004987.pub2	Can acupuncture treat vascular dementia?	Dementia is a set of symptoms associated with loss of memory or thinking skills. Vascular dementia (VaD) is a subclass of dementia that occurs when the circulation system fails to carry enough blood to the brain. Among other interventions having side effects, acupuncture is said to be an effective treatment of VaD. A relevant document discusses whether or not acupuncture is an effective treatment for VaD. Documents discussing other types of dementia (e.g. Alzheimer, Lewy Bodies) should be regarded as irrelevant.	0.0
22	hydroxyzine generalized anxiety disorder	https://doi.org/10.1002/14651858.CD006815.pub2	How effective is hydroxyzine (also known as Atarax) for treating generalized anxiety disorder?	Anxiety disorder is a common class of psychiatric disorders covering generalized anxiety disorder (GAD), panic attack, and phobia related disorders such as Acrophobia. Relevant documents should discuss the effectiveness of hydroxyzine (also sold under different brand names such as Atarax) for treating GAD or controlling GAD related anxiety, but may or may not mention other types of anxiety disorders.	-1.0
23	insulin gestational diabetes	https://doi.org/10.1002/14651858.CD012037.pub2	Is insulin an effective treatment for gestational diabetes?	Gestational diabetes (also known as gestational diabetes mellitus or GDM) is a subclass of diabetes that occurs during pregnancy and usually goes away after birth. However, GDM may have harmful consequences to the baby during birth and one solution suggested is insulin injections or anti-diabetic medicines. A relevant document discusses whether insulin or other anti-diabetic pharmacological medicines can be used to treat GDM. Documents not discussing GDM, but other types of diabetes (i.e. Type I and Type II), should be regarded as irrelevant.	0.0
24	yoga epilepsy	https://doi.org/10.1002/14651858.CD001524.pub3	Can yoga control epilepsy?	It has been suggested that some types of yoga involving postural and breathing exercises can help to control epileptic episodes and treat epilepsy. Relevant documents discuss whether yoga is effective at controlling epilepsy and helps to reduce the frequency or duration of seizures.	0.0
25	fish oil ulcerative colitis	https://doi.org/10.1002/14651858.CD005986.pub2	Can fish oil be used to maintain the remission of ulcerative colitis?	Ulcerative Colitis (UC) is an inflammatory disease affecting the rectum and colon and can eventually cause internal wounds. It has been suggested that fish oil can be used for people with UC to manage its symptoms. Relevant documents should discuss whether fish oil can be an effective solution to managing symptoms of UC.	0.0
26	vaccine common cold	https://doi.org/10.1002/14651858.CD002190.pub5	Can vaccines prevent the common cold?	The common cold is a viral infection with common symptoms such as sneezing, runny nose, sore throat etc. and is different than the flu (influenza). Relevant documents should discuss whether vaccines can prevent the common cold. Documents not discussing the effectiveness of vaccines on the common cold, e.g. they discuss influenza, should be regarded as not relevant.	0.0
27	antibiotics children wet cough	https://doi.org/10.1002/14651858.CD004822.pub3	Can antibiotics be used as a treatment for wet cough (productive or chesty cough) in children?	Wet cough, also known as a productive cough or chesty cough, is a cough that produces mucus or phlegm. In children, when a wet cough is persistent (e.g. for four weeks) it is considered a symptom of bacterial or viral infection that needs attention. Relevant documents discuss whether or not antibiotics can heal wet cough. Documents not discussing the effectiveness of antibiotics for persistent wet cough but for issues such as whooping cough, or ones not mentioning its effect on children should be regarded as irrelevant.	1.0
28	antibiotics whooping cough	https://doi.org/10.1002/14651858.CD004404.pub3	Can antibiotics be used as a treatment for whooping cough (pertussis)?	Pertussis (whooping cough) is a bacterial infection that causes episodes of acute cough and can lead to death. Relevant documents discuss the effectiveness of antibiotics to treat pertussis.	1.0
29	antibiotics children pneumonia	https://doi.org/10.1002/14651858.CD004874.pub4	Can antibiotics be use to treat community acquired pneumonia in children?	Antibiotics have been suggested as a treatment for children diagnosed with community acquired pneumonia, which is a different health issue than hospital acquired pneumonia. A relevant document should discuss this claim, whether or not antibiotics can heal children with pneumonia acquired outside hospitals. Documents discussing only hospital acquired pneumonia (nosocomial pneumonia) should be regarded as irrelevant.	1.0
30	aloe vera wounds	https://doi.org/10.1002/14651858.CD008762.pub2	Can you apply aloe vera to treat wounds?	Aloe vera is a cactus-like plant that has been used in cosmetic and skin care products. It has been suggested that aloe vera is useful as a wound remedy. Relevant documents discuss whether aloe vera, topically applied as a gel or cream, can heal wounds.	0.0
31	exercise hot flashes night sweats menopause	https://doi.org/10.1002/14651858.CD006108.pub4	Are exercises helpful in reducing hot flashes and night sweats in menopausal women?	Exercising has been suggested to ease vasomotor menopausal symptoms such as hot flashes/flushes and night sweats. Relevant documents discuss whether or not exercise can help to reduce hot flashes and night sweats in menopausal women.	0.0
32	ginkgo biloba tinnitus	https://doi.org/10.1002/14651858.CD003852.pub3	Can ginkgo biloba treat tinnitus?	It has been suggested that tinnitus (persistent ringing in the ears) can be reduced or eliminated with ginkgo biloba (an antioxidant rich herb) supplements. A relevant document discusses whether or not ginkgo biloba based products such as pills or ginkgo biloba rich food can help to reduce the severity of tinnitus.	-1.0
33	hypnotherapy quit smoking	https://doi.org/10.1002/14651858.CD001008.pub2	Does hypnotherapy help people quit smoking?	Some have suggested that hypnotherapy is a useful method to help quit smoking. Relevant documents discuss whether any type of hypnotherapy can be a treatment to help people quit smoking.	-1.0
34	exercises for female incontinence	https://doi.org/10.1002/14651858.CD005654.pub4	How effective are pelvic floor exercises for treating female incontinence?	Female urinary incontinence (UI, also known as urinary leakage) is leakage of urine due to lessening control over pelvic muscles, which may occur because of pregnancy, menopause, or other events that contribute to weakening of muscles. There are different types of UI, including but not limited to, stress incontinence, urge incontinence and mixed incontinence. Pelvic floor muscle training (PFMT) exercises such as kegels, squeeze-release and others have been claimed to be a treatment for urinary leakage. Relevant documents should discuss whether or not pelvic muscle exercises can cure female urinary incontinence of any type or improve its symptoms.	1.0
35	valerian anxiety disorder	https://doi.org/10.1002/14651858.CD004515.pub2	Is valerian an effective treatment for anxiety disorders?	Valerian is a plant used as a herbal remedy for a number of issues such as sleeplessness and anxiety. A relevant document discusses if valerian is an effective method to treat anxiety disorders.	0.0
36	dental sealants	https://doi.org/10.1002/14651858.CD001830.pub5	Are dental sealants helpful in preventing tooth decay?	Resin-based and glass ionomer sealants applied to teeth have been purported to prevent tooth decay (cavities and caries). Relevant documents should discuss whether or not dental sealants are an effective treatment to prevent tooth decay.	1.0
37	laxatives hemorrhoids	https://doi.org/10.1002/14651858.CD004649.pub2	Can taking laxatives help with hemorrhoids?	Hemorrhoids (aka piles) are swollen veins near the rectum and anus that cause itching, pain, and sometimes bleeding. Laxatives, such as fiber or laxative drugs, have been suggested to relieve hemorrhoid symptoms by loosening stools and increasing frequency of bowel movements. Relevant documents will discuss this claim and whether or not laxatives are beneficial in relieving hemorrhoid symptoms.	1.0
38	traction lower back pain	https://doi.org/10.1002/14651858.CD003010.pub5	Is lumbar traction an effective treatment for lower back pain?	Traction is a treatment that can be applied with machines or manually by physiotherapists and chiropractors. The method aims to treat lower back pain by increasing the space between vertebrae and realigning them. A relevant document discusses the effectiveness of traction for treating low-back pain.	-1.0
39	muscle relaxants back pain	https://doi.org/10.1002/14651858.CD004252	Can muscle relaxants be used to relieve back pain?	Muscle relaxants (or muscle relaxers) target the skeletal muscles to reduce their tension. Relevant documents discuss whether or not using muscle relaxants are effective for relieving back pain.	1.0
40	cinnamon diabetes	https://doi.org/10.1002/14651858.CD007170.pub2	Can cinnamon help people with diabetes?	It has been reported that cinnamon might be used to control blood-sugar levels and thus might help in the management of diabetes. There are three types of diabetes, Type I, type II and gestational diabetes (occurs during pregnancy). This topic excludes gestational diabetes. Relevant documents should discuss whether or not cinnamon can help people with diabetes.	-1.0
41	benzos alcohol withdrawal	https://doi.org/10.1002/14651858.CD005063.pub3	Can benzos (benzodiazepines) help with alcohol withdrawal?	Benzodiazepines, also commonly called benzos, are drugs that are mostly administered orally. A relevant document discusses the effectiveness of using benzos for alcohol withdrawal.	1.0
42	probiotics eczema	https://doi.org/10.1002/14651858.CD006135.pub3	Are probiotics an effective treatment for eczema?	Probiotics, bacteria beneficial for human health, are contained in some everyday food such as yogurt. It has been suggested that probiotics can be used to treat eczema, which is a skin problem that usually occurs as red, dry, and itchy skin but also occurs as other skin problems in different forms. A relevant document discusses the effectiveness of consuming products or medication containing probiotics to treat eczema.	-1.0
43	compression stockings varicose veins	https://doi.org/10.1002/14651858.CD008819.pub3	Are compression stockings helpful for varicose veins?	Varicose veins are widened veins visible under the skin. Relevant documents discuss whether or not compression stockings are helpful for initial treatment of varicose veins without venous ulceration.	0.0
44	vitamins epilepsy	https://doi.org/10.1002/14651858.CD004304.pub2	Can vitamins help manage epilepsy?	It has been suggested that some vitamins (e.g. folic acid, thiamine, vitamin D and vitamin E) are effective for controlling symptoms of epilepsy. Relevant documents discuss this claim, whether or not usage of vitamins can help to control epileptic episodes such as uncontrollable movements, loss of consciousness or awareness etc. or improve lives of people with epilepsy.	-1.0
45	caffeine asthma	https://doi.org/10.1002/14651858.CD001112.pub2	Can caffeine help people with asthma?	Asthma is a lung disease that has symptoms such as shortness of breath and chest pain. Caffeine-rich products such as coffee and tea are suggested to be effective to manage asthma symptoms. A relevant document discusses whether caffeine can relieve asthma or manage its symptoms. Documents discussing caffeine for treatment of other airway issues but not asthma should be regarded as irrelevant.	1.0
46	feverfew migraines	https://doi.org/10.1002/14651858.CD002286.pub3	Can feverfew prevent migraine headaches?	Feverfew, a plant native to Eastern Europe, is used as a herbal remedy for some diseases and for preventing migraines. A relevant document discusses whether feverfew is an effective treatment for prevention of migraines. Documents discussing other types of chronic and acute headaches but not migraines should be regarded as irrelevant.	0.0
47	insoles back pain	https://doi.org/10.1002/14651858.CD005275.pub2	Can insoles treat back pain?	Insoles (shoe inserts or foot orthotics) are suggested by some to prevent or treat back pain by absorbing the shock that is transmitted to spine or by correcting feet issues that may result in spine misalignment. A relevant document discusses whether using insoles can prevent occurrence of back pain or treat existing back pain.	-1.0
48	acupuncture asthma	https://doi.org/10.1002/14651858.CD000008.pub2	Is acupuncture helpful for easing the symptoms of chronic asthma?	Acupuncture is a well-known traditional medicine that has been practiced in Asian countries for centuries. It has been suggested that acupuncture can be helpful for easing asthma symptoms and could be a good alternative to medication with side effects. A relevant document discusses whether or not acupuncture is a helpful treatment for people with chronic asthma and eases its symptoms.	0.0
49	sulfasalazine rheumatoid arthritis	https://doi.org/10.1002/14651858.CD000958	Is sulfasalazine an effective treatment for rheumatoid arthritis?	Relevant documents discuss the effectiveness of using sulfasalazine for treating rheumatoid arthritis.	1.0
50	surgery obesity	https://doi.org/10.1002/14651858.CD003641.pub4	Is bariatric surgery effective for obesity?	Bariatric surgery (also known as obesity surgery and weight loss surgery) is an operation to reduce size of the stomach. Relevant documents discuss whether bariatric surgery in any form can be beneficial in treating obesity.	1.0
51	dehumidifiers asthma	https://doi.org/10.1002/14651858.CD003563.pub2	Can dehumidifiers be used to control asthma?	Dehumidification homes might improve lives of people with asthma. Dehumidifiers are electronic devices to control the level of humidity of environment which is suggested to contribute to factors that might affect asthma. A relevant document should discuss whether or not dehumidifiers can be used to control asthma symptoms or can improve lives of people with asthma.	-1.0
101	ankle brace achilles tendonitis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3134723/	Will wearing an ankle brace help heal achilles tendonitis?	Achilles tendonitis is a condition where one experiences pain in the Achilles tendon located near the heel. An ankle brace is usually worn around the ankles to protect and limit movement. A very useful document would discuss the effectiveness of using ankle braces to help heal Achilles tendonitis. A useful document would help a user make a decision about the use of ankle braces for treating tendonitis by providing information about recommended treatments for Achilles tendonitis, ankle braces, or both.	-1.0
102	tepid sponge bath reduce fever children	https://pubmed.ncbi.nlm.nih.gov/9115527/	Is a tepid sponge bath a good way to reduce fever in children?	Fever can boost the immune system and therefore is a defense against infection.  A very useful document would discuss the effectiveness of taking a sponge bath to reduce fever in children. A useful document would help a user make a decision about the use of a sponge bath for reducing fever in children by providing information on recommended treatments for fever in children, the effects of sponge baths on children with fever, or both.	-1.0
103	folic acid dementia	https://pubmed.ncbi.nlm.nih.gov/14584018/	Can folic acid help improve cognition and treat dementia?	Dementia is a general term for loss of cognitive abilities that severely affects daily activities. Folates are vitamins essential to the development of the central nervous system. A very useful document would discuss the effectiveness of folic acid to improve cognition and treat dementia. A useful document would help a user decide if folic acid could help improve cognition for people with dementia by providing information on recommended treatments for dementia, or folic acid as a medical treatment, or both.	-1.0
104	duct tape warts	https://pubmed.ncbi.nlm.nih.gov/22972052/	Does duct tape work for wart removal?	Duct tape is a plastic and cloth backed adhesive tape commonly available and known to be useful for quick repairs.  Warts are skin growths caused by a viral infection.  A very useful document will discuss the effectiveness of applying duct tape to warts for their removal.  A useful document would help a user decide if duct tape is an effective remedy for warts by providing information on recommended methods to treat warts, and may or may not mention the use of duct tape for this purpose, but which do not directly address the effectiveness of duct tape for wart removal.	-1.0
105	put ice on a burn	https://www.uwhealth.org/news/the-right-way-to-treat-burns	Should I apply ice to a burn?	Many people commonly put on ice on burns in an attempt to stop the burning and pain. A very useful document would discuss the effectiveness of using ice to treat burns. A useful document would help a user decide if putting ice on burns is a recommended treatment by providing information on recommended treatments for burns and may not discuss ice as a treatment, or a useful document may discuss benefits or concerns for application of ice to skin.	-1.0
106	vitamin b12 sun exposure vitiligo	https://pubmed.ncbi.nlm.nih.gov/9394983/	Can vitamin b12 and sun exposure together help treat vitiligo?	Vitiligo is characterized by discolored patches on the skin because the skin loses its pigment cells (melanocytes). A very useful document would discuss the effectiveness of vitamin b12 and sun exposure together for vitiligo. A useful document help a user make a decision about using the combination of vitamin B12 and sunlight to treat vitiligo, and would provide information on recommended treatments for vitiligo, use of vitamin b12 and sun exposure, or both.	1.0
107	yoga asthma	https://pubmed.ncbi.nlm.nih.gov/27115477/	Does yoga improve the management of asthma?	Asthma is a condition that causes shortness of breath or chest pains due to narrowing airways. Yoga is an increasingly popular low-impact exercise --- claiming relaxation, strength improvements and overall health benefits. A very useful document would discuss the effectiveness of yoga in managing asthma symptoms. A useful document would help a user make a decision about use of yoga to help manage asthma by providing information on recommended treatments for asthma management, or medical benefits of practicing yoga, or both.	1.0
108	starve a fever, feed a cold	https://pubmed.ncbi.nlm.nih.gov/25688968/	Is starving a fever effective?	"A fever is an increase in body temperature due to an illness. To ""starve a fever"" is to fast, i.e. cease eating food.  A very useful article would comment on the efficacy of fasting as a method to reduce a fever and speed recovery and may also provide information on possible positive or negative effects of fasting on a fever. A useful document would help a user decide if it is effective to stop eating to treat a fever but would not provide a direct answer to the question of efficacy of fasting for fever reduction or getting well faster when sick with a fever.  A useful document may provide information on the effect of fasting while ill regardless of fever, or it may provide information on treatments for fever without mentioning fasting as a treatment."	-1.0
109	selenium cancer	https://pubmed.ncbi.nlm.nih.gov/29376219/	Does selenium help prevent cancer?	Selenium supplements are claimed to help prevent cancer. A very useful document would discuss the effectiveness of selenium to prevent cancer. A useful document would help a user decide about use of selenium as a cancer preventative by providing information on recommended ways to prevent cancer, the medical use of selenium, or both.	-1.0
110	birth control pill ovarian cysts treatment	https://pubmed.ncbi.nlm.nih.gov/24782304/	Will taking birth control pills treat an ovarian cyst?	Functional ovarian cysts are a common gynecological problem which may require surgical intervention in severe cases. The prescription of oral contraceptives correlated with a reduced incidence of functional ovarian cysts, and hence birth control pills are commonly prescribed with the benefit of preventing the incidence of ovarian cysts. A very useful document would discuss the effectiveness of oral contraceptives for treating existing ovarian cysts. A useful document would help a user decide if oral contraceptives can help treat existing ovarian cysts, as opposed to preventing ovarian cysts.  A useful document provides information on recommended treatments for ovarian cysts, health benefits or risks of oral contraceptives relevant to use of oral contraceptives as a treatment for health issues, or both.	-1.0
111	zinc supplements pregnancy	https://pubmed.ncbi.nlm.nih.gov/33724446/	Will taking zinc supplements improve pregnancy? 	Zinc is an essential mineral, and pregnant women require more zinc.  A very useful document would discuss the effectiveness of supplementing zinc for improving pregnancy outcomes. A useful document would help a user decide if zinc supplements are useful for improved pregnancy outcomes by providing information on recommended nutritional measures for maternal or neonatal health, zinc used for medical purposes, or both.	-1.0
112	evening primrose oil eczema	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC292973/	Can evening primrose oil help treat eczema?	Atopic dermatitis (eczema), a common and chronic skin disorder, is characterized by red and inflamed skin. A very useful document would discuss the effectiveness of evening primrose oil effective to treat atopic dermatitis. A useful document would help a user decide if evening primrose oil is helpful for treating eczema by providing information on recommended treatments for eczema, the use of evening primrose oil as a medicine, or both.	-1.0
113	ankle brace broken ankle	https://pubmed.ncbi.nlm.nih.gov/27033333/	Do ankle braces help heal an ankle fracture? 	Ankle bone fractures are a common injury treated using braces, splints, casts, or surgical fixation with screws in more severe cases. A very useful document would discuss the effectiveness of ankle braces for the recovery of ankle bone fractures. A useful document would help a user make a decision about use of an ankle brace during recovery from an ankle bone fracture by providing information on recommended treatments for ankle fractures, or medical usage of ankle braces, or both.	1.0
114	vitamin e cream for skin scars	https://pubmed.ncbi.nlm.nih.gov/10417589/	Can applying vitamin E cream remove skin scars?	Skin scars form when a wound in the skin heals and leave marks on the skin that look and/or feel different from its normal appearance. Vitamin E is an antioxidant. Vitamin E cream is a cream with Vitamin E as an ingredient that could be applied to skin. A very useful document would discuss the efficacy of applying Vitamin E creams for improving the cosmetic appearance of scars. A useful document may include information about improving the cosmetic appearance of skin scars, the use of topical Vitamin E creams for skin, or both.	-1.0
115	magnesium migraine prevention	https://pubmed.ncbi.nlm.nih.gov/29131326/	Can magnesium help prevent migraine?	Migraines, commonly characterized by intense headaches, are a neurological condition that can cause multiple symptoms, such as nausea, vomiting, and sensitivity to light and sound. A very useful document would discuss the effectiveness of magnesium to prevent migraines. A useful document helps a user make a decision about using magnesium to prevent migraines, and do this by providing information on recommended treatments for preventing migraines, and magnesium for human consumption, either separately or together.	1.0
116	exercise diabetes	https://pubmed.ncbi.nlm.nih.gov/16855995/	Does exercise help manage diabetes?	Exercise is generally recommended for weight management, glycaemic control and overall health benefits for diabetes --- a condition where one's blood glucose is too high. A very useful document would discuss the effectiveness of exercise for managing diabetes through better control of blood-sugar levels. A useful document would help a user make a decision about using exercise for management of diabetes but would not provide a specific answer regarding the effectiveness of exercise or would only provide general information on recommended methods to manage diabetes.	1.0
117	fermented milk blood pressure	https://pubmed.ncbi.nlm.nih.gov/22513955/	Can fermented milk help mitigate high blood pressure?	As an important source of proteins and peptides, fermented milk products have been suggested to be used for controlling high blood pressure. A very useful document would discuss the effectiveness of fermented milk products to control high blood pressure. A useful document would help a user make a decision about fermented milk for treatment of high blood pressure by providing information on recommended treatments for high blood pressure, or the use of fermented milk as a medical treatment, or both.	-1.0
118	dupixent eczema	https://pubmed.ncbi.nlm.nih.gov/32927498/	Can dupixent treat eczema?	"Eczema, a common and chronic skin disorder, is characterized by red and inflamed skin. Dupilumab (brand name: ""Dupixent"") is a monoclonal antibody used to treat atopic dermatitis. A very useful document would discuss the effectiveness of ""Dupixent"" (dupilumab) for eczema. A useful document would help a user decide if dupilumab can treat eczema by providing information on recommended treatments for eczema, Dupixent (dupilumab), or both."	1.0
119	yoga arthritis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081169/	Does yoga help reduce pain from arthritis and improve physical function?	Arthritis is an acute or chronic inflammation of the joint with symptoms such as pain, stiffness and/or a decreased ability to move. Yoga is a practice that incorporates physical exercise, breath control and meditation. A very useful document would comment on the efficacy of practicing yoga to alleviate arthritic symptoms and to promote physical function and may also include details about yoga practice for treatment. A useful document would help a user make a decision about using yoga for treatment of arthritis and may include information on arthritis and its treatment, yoga, or both.	1.0
