topic	query	evidence	description	narrative	efficacy
120	imitrex migraine	https://pubmed.ncbi.nlm.nih.gov/22336867/	Can the drug Imitrex (sumatriptan) treat acute migraine attacks?	A migraine is a disorder that causes headaches, nausea, and other symptoms. Sumatriptan is one of the triptan family of drugs used to treat migraine attacks and is available with prescription under the brand name Imitrex. A very useful document would discuss whether or not using Imitrex can treat acute migraine attacks and relieve symptoms such as pain and nausea. A useful document provides information that would help a user make a decision regarding use of imitrex for treatment of migraine and may include information about either treatments for migraines and or the drug Imitrex or both.	1.0
121	light therapy lamp depression	https://pubmed.ncbi.nlm.nih.gov/15106233/	Will buying a light therapy lamp help treat depression? 	Lamps have been marketed as an at-home solution to administer light therapy for seasonal affective disorder (SAD). A very useful document would discuss the effectiveness of light therapy to manage the symptoms of non-seasonal depression. A useful document would help a user make a decision about treating depression with light by providing information on treating depression, use of light therapy, or both. 	1.0
122	aleve migraine	https://pubmed.ncbi.nlm.nih.gov/24142263/	Does Aleve relieve migraine headaches?	Naproxen is a type of nonsteroidal anti-inflammatory drug used for pain relief. It is commonly available over-the-counter under different brand names such as Aleve, EC Naprosyn, Anaprox and more. A very useful document would discuss the effectiveness of naproxen for migraine pain management. A useful document would help a user make a decision about use of naproxen for migraine pain relief by providing information on recommended treatments for migraines, naproxen, or both.	-1.0
123	toothpaste pimple overnight	https://www.hopkinsallchildrens.org/Patients-Families/Health-Library/HealthDocNew/Does-Putting-Toothpaste-on-a-Pimple-Make-It-Go-Awa?id=0	Can I get rid of a pimple overnight by applying toothpaste?	A pimple is a pustule that develops when the pores on the skin get clogged. Toothpaste is a paste used to clean teeth. A very useful document would discuss whether or not to use toothpaste to get rid of a pimple. A useful document would help a user decide if applying toothpaste to a pimple is an effective means to clear a pimple by giving information about recommended treatments for pimples, the effect of toothpastes when applied to skin, or both.	-1.0
124	chondroitin supplement osteoarthritis joint disorder	https://pubmed.ncbi.nlm.nih.gov/25629804/	Can chondroitin help relieve the pain of osteoarthritis?	Osteoarthritis, the most common form of arthritis, occurs when the protective cartilage between bones wears down over time. Chondroitin is a dietary supplement and an important component of cartilage, which may prevent cartilage from breaking down and stimulate its repair mechanisms. A very useful document would discuss the effectiveness of chondroitin for treating osteoarthritis and relieving its pain. A useful document would help a user make a decision about using chondroitin for osteoarthritis pain relief by providing information on recommended treatments for osteoarthritis, chondroitin or both.	1.0
125	omega-3 fatty acids hypertriglyceridemia	https://pubmed.ncbi.nlm.nih.gov/31422671/	Can omega-3 help manage hypertriglyceridemia? 	Hypertriglyceridemia is a body condition where there are high levels of fatty molecules in the blood called triglycerides. The condition is associated with an increased risk for cardiovascular diseases. Omega-3 are essential fatty acids that could be found in foods such as fish, flax seeds or walnuts or in supplements such as fish oil. A very useful document would discuss whether or not taking Omega-3 can reduce triglycerides and help treat Hypertriglyceridemia and may comment on the dosage and frequency of Omega-3 intake. A useful document provides information that would help a user make a decision about using omega-3 for management of hypertriglyceridemia, and may discuss omega-3 and hypertriglyceridemia either together or separately.	1.0
126	probiotics prevention respiratory infections	https://pubmed.ncbi.nlm.nih.gov/25927096/	Can probiotics prevent respiratory infections?	Upper tract respiratory infections (UTRIs) are infections of the upper respiratory tract and include the common cold and inflammation of the trachea and larynx. Probiotics are beneficial bacteria and yeast that can be found in yogurt or dietary supplements. A very useful document would discuss the efficacy of probiotics intake to prevent UTRIs and may also comment on the amount and frequency of probiotics intake. A useful document provides information that would help a user make a decision regarding consumption of probiotics for prevention of UTRIs and may discuss either UTRIs and their treatment, and probiotics, either separately or together.	1.0
127	aromatherapy massage rheumatoid arthritis	https://pubmed.ncbi.nlm.nih.gov/27091583/	Can aromatherapy massage help manage rheumatoid arthritis?	Rheumatoid arthritis (RA) is a disease that causes inflammation and painful swelling due to the body's immune system attacking its own healthy cells. Aromatherapy massage is a type of massage using essential oils such as lavender, tea tree or peppermint. A very useful document would comment on the efficacy of aromatherapy massage to help manage pain and fatigue in patients with RA. A useful document may include information about RA, or aromatherapy massage, separately or together, that would help a user make a decision about treating RA with aromatherapy.	1.0
128	steam shower croup	https://www.webmd.com/children/news/20060314/humidity-may-not-help-kids-with-croup	Does steam from a shower help croup?	"Croup is an infection of the upper airway. It causes swelling, which can obstruct breathing and lead to a barking cough. A very useful document would discuss the effectiveness of humidifiers or taking a child into a bathroom and running a hot shower to ""steam up"" the air as a means to treat croup and restore breathing. A useful document would help a user decide if using a shower to steam up a bathroom can help croup by providing information on recommended treatments for croup, use of humid air for breathing difficulties, or both."	-1.0
129	minoxidil balding hair growth	https://pubmed.ncbi.nlm.nih.gov/27225981/	Can minoxidil treat hair loss?	Hair loss, also known as alopecia, affects a significant portion of the aging population. Minoxidil is the active ingredient in Rogaine, a consumer product marketed as a hair regrowth treatment to achieve fuller, thicker hair. A very useful document would discuss the effectiveness of minoxidil for the management of hair loss. A useful document would help a user make a decision about treating hair loss with minoxidil by providing information on effective treatments for hair regrowth, or medical guidance on minoxidil, or both.	1.0
130	hoxsey treatment	https://www.mcgill.ca/oss/article/quackery/hoxsey-hoax	Is the Hoxsey treatment a good cure for cancer?	Cancer is a disease where the cells in the body start to grow and spread uncontrollably. The Hoxsey treatment is a treatment promoted to cure cancer which involves diets and herbal tonics. A very useful document would discuss the efficacy of the Hoxsey treatment to cure cancer. A useful document would provide more information about recommended cancer treatments, the Hoxsey treatment, or both.	-1.0
131	l-theanine supplements anxiety	https://pubmed.ncbi.nlm.nih.gov/31758301/	Can l-theanine supplements reduce stress and anxiety?	L-theanine is an amino acid naturally contained in green tea, black tea, and some mushrooms. A very useful document would discuss the effectiveness of l-theanine supplements to reduce stress and anxiety. A useful document would provide information that would help a user make a decision about treating stress and anxiety with l-theanine.  Such a useful document may discuss l-theanine and treating stress and anxiety either together or separately.	1.0
132	inhaling steam common cold	https://pubmed.ncbi.nlm.nih.gov/28849871/	Does inhaling steam help treat common cold?	Inhaling warmed, humid air produced by hot water is a popular home remedy for the common cold. A very useful document would discuss the effectiveness of inhaling warmed, humid air to reduce common cold symptoms. A useful document would help a user decide if warmed, humid air is recommended for treating the common cold and its symptoms by providing information on recommended treatments for the common cold and may or may not mention inhaling humidified air, but does not provide a direct answer to the effectiveness of warm humid air for treating common cold symptoms.	-1.0
133	exercise depression	https://pubmed.ncbi.nlm.nih.gov/24026850/	Does exercise improve the symptoms of depression? 	Depression, a common mental health affliction, is frequently treated with antidepressants and/or psychotherapy, depending on the severity. Exercise plans are generally recommended as an alternative natural treatment to improve overall health and wellbeing. A very useful document would specifically discuss the effectiveness of exercise for managing depressive symptoms. A useful document would help a user make a decision about use of exercise to help depression by providing information on recommended treatments for fighting depression, how exercise might help, or both.	1.0
134	remove tick with vaseline	https://pubmed.ncbi.nlm.nih.gov/4000801/	Can I remove a tick by covering it with Vaseline?	Ticks are small, blood-sucking bugs that can carry harmful germs. Vaseline is a brand name for petroleum jelly. Some claim that Vaseline applied to ticks can block their ability to breathe and result in the tick detaching itself from the host.  A very useful article would discuss the effectiveness of using Vaseline to remove a tick. A useful document would help a user decide on use of Vaseline for tick removal by providing information on removal of ticks with or without mention of Vaseline, but would not directly answer the question of effectiveness of Vaseline for tick removal. 	-1.0
135	mayonnaise lice treatment	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2606079/	Can applying mayonnaise help get rid of lice?	Many household products, like mayonnaise (mayo) and olive oil, are popular remedies to treat lice, where the theory is that they can suffocate the lice. A very useful document would discuss the effectiveness of applying mayonnaise to get rid of lice. A useful document would help the user decide if mayo can get rid of lice by providing information on recommended methods to get rid of lice, or information about mayo relevant to its use as a treatment for lice, or both.	-1.0
136	dates iron deficiency anemia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6927593/	Can eating dates help manage iron deficiency anemia?	Iron deficiency anemia (IDA) occurs when the body doesn't have enough mineral iron, which is needed to make hemoglobin. Dates are iron rich. A very useful document would discuss the effectiveness of eating dates for iron deficiency anemia. A useful document would help a user make a decision about eating dates as a treatment for iron deficiency anemia and provide information about IDA and its treatment, and dates as a source of iron, either separately or together.	1.0
137	vinegar fish bone stuck	https://www.drganent.com/blog/swallowed-a-fish-bone-this-is-how-it-is-removed-in-by-an-ent-specialist/	Will drinking vinegar dissolve a stuck fish bone?	Fish bones may get stuck when swallowed and can cause an infection if not taken out or they may migrate into deeper structures of the neck. Vinegar is an aqueous solution of acetic acid. A very useful article would discuss whether or not swallowing or drinking vinegar can dissolve a stuck fish bone and may provide more information on the reasons why. A useful document may give information on medical dangers of stuck fish bones, appropriate treatments for stuck fish bones, the effects of drinking vinegar, either separately or together.	-1.0
138	zinc common cold	https://pubmed.ncbi.nlm.nih.gov/23775705/	Can zinc help treat the common cold?	The common cold is an infection of the upper respiratory tract caused by a virus. Zinc is an essential mineral that is available in some foods or in dietary supplements. A very useful document would discuss whether or not taking Zinc can help treat the common cold and may also include information about the dosage and frequency of intake. A useful document would help a user decide if taking zinc could help treat the common cold by providing information about effective treatments for the common cold, the medical use of zinc, or both.	1.0
139	copper bracelets reduce pain	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774818/	Can copper bracelets reduce the pain of arthritis?	Arthritis causes swelling and tenderness of joints. A very useful document would discuss the effectiveness of copper bracelets to treat arthritis. A useful document would help a user decide if copper bracelets reduce the pain of arthritis by providing information on recommended treatments for arthritis, or the use of copper bracelets for treating pain, or both.	-1.0
140	fungal cream athlete's foot	https://pubmed.ncbi.nlm.nih.gov/17636672/	Can fungal creams treat athlete's foot?	"Over-the-counter topical creams are available for at-home treatment of fungal infections on the feet --- also commonly referred to as ""athlete's foot"". A  very useful document would discuss the effectiveness of topical creams to treat feet fungal infections. A useful document would help a user make a decision about use of a fungal cream to treat athlete's foot by providing information on recommended treatments for athlete's foot or medical guidance on topical antifungal agents, or both."	1.0
141	cocoa butter reduce pregnancy stretch marks	https://pubmed.ncbi.nlm.nih.gov/25255817/	Does cocoa butter help reduce pregnancy stretch marks?	Pregnancy stretch marks happen during pregnancy when layers of tissue under the skin tears due to the skin being pulled tight. Cocoa butter is fat from cocoa beans. A very useful document would discuss the effectiveness of cocoa butter (cocoa butter products) to reduce pregnancy stretch marks. A useful document would help a user decide on the use of cocoa butter products for reduction of stretch marks by providing information on pregnancy stretch marks and their cosmetic treatment, cocoa butter as a skin treatment, or both.	-1.0
142	probiotics child diarrhea caused by antibiotics 	https://pubmed.ncbi.nlm.nih.gov/31039287/	Can probiotics prevent diarrhea caused by antibiotics in children?	Antibiotic-associated diarrhea (AAD) is a diarrhea that results from taking antibiotics that disturb the natural balance of beneficial versus non-beneficial bacteria in the digestive system which leads to an increase in harmful bacteria. Probiotics are beneficial bacteria and yeast that can be found in yogurt or dietary supplements. A very useful document would discuss whether or not taking probiotics can prevent AAD in children, and may also comment on frequency and amount of probiotics intake. A useful document would help the user make a decision about use of probiotics for prevention of AAD and include information about AAD and its prevention, probiotics, or both. 	1.0
143	tylenol osteoarthritis	https://pubmed.ncbi.nlm.nih.gov/16437479/	Does Tylenol manage the symptoms of osteoarthritis? 	Osteoarthritis (OA) is a degenerative chronic disease that causes joint pain, and is most frequently treated by reducing joint inflammation and managing discomforts. Paracetamol, also referred as acetaminophen or Tylenol, is a highly-accessible over-the-counter medication for general fever and pain relief. A very useful document would discuss the effectiveness of paracetamol for managing osteoarthritis. A useful document would help a user make a decision regarding treatment of osteoarthritis with Tylenol by providing information on recommended treatments for managing the symptoms of osteoarthritis, Tylenol, or both.	1.0
144	music therapy depression	https://pubmed.ncbi.nlm.nih.gov/29144545/	Can music therapy help manage depression?	Depression is a prevalent mood disorder which leads to loss of interest and pleasure. Music therapy refers to the use of music interventions to improve mental health by a professional therapist. A very useful document would discuss the effectiveness of music therapy for depression. A useful document would help a user make a decision about using music therapy for managing depression, and would provide information on recommended treatments for depression or medical benefits of music therapy or both.	1.0
145	omega 3 borderline personality disorder	https://pubmed.ncbi.nlm.nih.gov/12505817/	Can omega-3 treat borderline personality disorder in women?	Borderline personality disorder is a mental illness characterized by an instability in mood, impulsive actions, problems in relationship and self-image issues. Omega-3 fatty acids are essential fatty acids that could be found in foods such as fish, flax seeds or walnuts or in supplements such as fish oil. A very useful document would comment on the efficacy of taking Omega-3 to treat symptoms of borderline personality disorder, and may include information on dosage and frequency of Omega-3 intake. A useful document would help a user make a decision about treatment of the disorder with omega-3 fatty acids by providing information on borderline personality disorder and its treatment, and omega-3 fatty acids, either separately or together.	1.0
146	vitamin d asthma attacks	https://pubmed.ncbi.nlm.nih.gov/27595415/	Can vitamin D supplements improve the management of asthma?	Asthma is a condition that causes shortness of breath or chest pains due to narrowing airways. Vitamin D has been an increasingly-popular supplement recommended to combat a plethora of diseases claimed to be caused by general Vitamin D deficiencies in the population. A very useful document would discuss the effectiveness of supplementing Vitamin D to manage asthma. A useful document would help a user make a decision about using vitamin D to help manage their asthma by providing information on recommended treatment methods to manage asthma, vitamin D, or both.	1.0
147	baby soy formula prevent allergies	https://pubmed.ncbi.nlm.nih.gov/17054183/	Will feeding soy formula to my baby prevent the development of allergies?	Infant formulas have been marketed for the purposes of potentially lowering the chances of developing food intolerances. Soy-based baby formulas are commonly used to treat infants with allergy or intolerance to cow's milk protein, especially if the infant has a strong family history of dairy intolerance. A very useful document would discuss the effectiveness of feeding soy formula for the purposes of preventing allergy or food intolerance in infants. A useful document would help a user make a decision about the use of soy formula with the goal of preventing allergies in an infant.  A useful document would provide medical information on allergy prevention in infants with formula, use of soy formula, or both.	-1.0
148	chitosan weight loss	https://pubmed.ncbi.nlm.nih.gov/18646097/	Does chitosan help lose body weight?	Chitosan is a polysaccharide extracted from shells of crustaceans, such as lobsters and crabs, which is claimed to help lose body weight. A very useful document would discuss the effectiveness of chitosan to help lose body weight. A useful document would help a user decide about use of chitosan for weight loss by providing information on recommended treatments for losing body weight, the medical use of chitosan, or both.	-1.0
149	hip osteoarthritis at-home exercises	https://pubmed.ncbi.nlm.nih.gov/24756895/	Will at-home exercises manage hip osteoarthritis pain?	Different types of at-home land-based therapeutic exercises have been recommended to ease arthritis pain and to combat stiffness in joints for people with hip osteoarthritis (OA). A very useful document would discuss the effectiveness of land-based therapeutic exercise programmes for managing the symptoms of osteoarthritis. A useful document would help a user make a decision about using exercise to ease OA hip pain by providing treatment recommendations for osteoarthritis, home exercises for hip OA, or both.	1.0
150	antioxidant supplements fertility	https://pubmed.ncbi.nlm.nih.gov/32851663/	Will taking antioxidant supplements treat fertility problems? 	Couples with fertility problems may turn to dietary improvements such as supplementary oral antioxidants, which have been claimed to reduce oxidative stress in a person's well being. A very useful document would discuss the effectiveness of taking antioxidant supplements to improve fertility in women. A useful document would help a user decide on the usefulness of antioxidant supplements for improving female fertility by providing information on fertility, antioxidants, either separately or together. 	-1.0
151	tea bags clot blood pulled teeth	To be provided after evaluation.	Do tea bags help to clot blood in pulled teeth?	Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.	
152	crystals heal	To be provided after evaluation.	Can crystals heal?	This question is asking if placing semiprecious stones and crystals such as quartz, agate, amethyst or opal on different parts of the body can heal diseases or other ailments.	
153	collagen supplements osteoarthritis	To be provided after evaluation.	Can collagen supplements cure osteoarthritis?	Osteoarthritis is a degenerative joint disease. Collagen is used by the body to make connective tissues.  This question is asking if consumption of collagen supplements can cure osteoarthritis.	
154	cell phone cancer	To be provided after evaluation.	Can cell phones cause cancer?	Cell phones emit radio waves (non-ionizing radiation) while in use. Cancer is a disease where cells in the body grow uncontrollably and spreads.	
155	WD-40 arthritis	To be provided after evaluation.	Can you use WD-40 for arthritis?	WD-40 is an oil-based lubricant. Arthritis is a health condition where the joints are inflamed and swollen, with symptoms such as joint pain and stiffness.  This question is asking if an arthritis sufferer could get relief from the pain by rubbing WD-40 on their joints.	
156	mosquito bites sick	To be provided after evaluation.	Can mosquito bites make you sick?	A mosquito is a flying insect that can puncture a person's skin to feed on the person's blood, which is commonly called being bitten by a mosquito.	
157	cancer inherited	To be provided after evaluation.	Can cancer be inherited?	Cancer is a disease where cells in the body grow uncontrollably and spreads.  This question is asking if a person can inherit genes from their parents that will lead to the development of cancer in the person during the person's life.	
158	vaccines autism	To be provided after evaluation.	Are vaccines linked to autism?	"Vaccines provide protection from infectious diseases.  Wikipedia ( en.wikipedia.org/wiki/Autism_spectrum ) defines ""autism spectrum"" to be ""a range of neurodevelopmental conditions generally characterized by difficulties in social interactions and communication, repetitive behaviors, intense interests, and unusual responses to sensory stimuli."""	
159	baking soda cancer	To be provided after evaluation.	Can baking soda help to cure cancer?	Cancer is a disease where cells in the body grow uncontrollably and spreads. Baking soda is used as a leavening agent.  This question is asking if there is some way to use or consume baking soda to cure any type of cancer.	
160	squats knees	To be provided after evaluation.	Are squats bad for knees?	A squat is a strength exercise in which a person lowers their hips from a standing position and then stands back up.  Will performing squats harm knees in some way?	
161	ace inhibitors erectile dysfunction	To be provided after evaluation.	Do ACE inhibitors typically cause erectile dysfunction?	Ace inhibitors are a medication used to treat blood pressure.  Erectile dysfunction is a condition where it is difficult to achieve and maintain an erection for sex.	
162	morphine addictive	To be provided after evaluation.	Is morphine addictive?	Morphine is a medication that affects the central nervous system in order to treat severe pain.	
163	fruit juice diabetes	To be provided after evaluation.	Can fruit juice increase the risk of diabetes?	Fruit juice is a drink that comes from squeezing fruit.  Diabetes is a disease that affects a person's ability to use sugar.	
164	magnetic wrist straps arthritis	To be provided after evaluation.	Do magnetic wrist straps help with arthritis?	This question is asking if wearing magnetic jewelry can reduce pain from arthritis, especially osteoarthritis in hips and knees.	
165	sit ups	To be provided after evaluation.	Are sit ups bad for you?	The sit-up is an exercise to strengthen the abdominal muscles. This question is asking if performing sit ups may cause harm to the body.	
166	speech problems right handed left handed forced switch	To be provided after evaluation.	Can a speech problem be caused by right handed person being forced to left hand?	Speech problems include, but are not limited to, problems such as apraxia, stuttering, and lisping.  This question is asking if forcing a left handed child to always write with their right hand will cause speech problems.	
167	health benefits drinking your urine	To be provided after evaluation.	Are there health benefits to drinking your own urine?	This question is asking if drinking your own urine can help with asthma, arthritis, and allergies, along with other ailments.	
168	pink salt	To be provided after evaluation.	Is pink salt good for you?	Pink Himalayan salt is a rock salt mined from the Punjab region of Pakistan. This question is asking if consumption of pink salt has health benefits in comparison to common table salt.	
169	massage cellulite	To be provided after evaluation.	Can massage get rid of cellulite?	"Cellulite is the dimpling of skin over an area of the body. Massage is a process of rubbing and applying pressure to the body with the intent of either reducing tension in muscles or producing other benefits. To ""get rid of cellulite"" would be to make the skin smooth without dimples over a long-term period."	
170	fish oil cholesterol	To be provided after evaluation.	Can fish oil improve your cholesterol?	Fish oil is an oil extracted from oily fish.  The question is asking if consumption of fish oil can help with blood cholesterol levels to produce a health benefit.	
171	become addicted to weed	To be provided after evaluation.	Can you become addicted to weed?	"Marijuana, also known as weed, is a psychoactive drug.  Wikipedia ( en.wikipedia.org/wiki/Addiction ) defines addiction to be ""a neuropsychological disorder characterized by a persistent and intense urge to use a drug, despite substantial harm and other negative consequences."""	
172	vegan diets healthy	To be provided after evaluation.	Can vegan diets be healthy?	Veganism is the practice of abstaining from the use of animal products, particularly in diet. Vegan diets contain no products derived from animals, including meat, milk, cheese, and eggs.	
173	hydroquinone banned europe	To be provided after evaluation.	Is hydroquinone banned in Europe?	Hydroquinone is used as a topical application in skin whitening to reduce the color of skin.  This question is asking if European governments have banned the use of hydroquinone.	
174	men uti infections	To be provided after evaluation.	Do men get UTI infections?	Urinary tract infections are infections of the urinary system.	
175	carrots eyes	To be provided after evaluation.	Are carrots good for your eyes?	Carrots are a root vegetable commonly consumed either raw or cooked.  The question is asking if consumption of carrots has health benefits for eyes.	
176	methanol poison	To be provided after evaluation.	Is methanol poisonous?	Methanol is a type of alcohol.	
177	mri harm baby	To be provided after evaluation.	Can an MRI harm my baby?	Magnetic resonance imaging (MRI) is a medical imaging technique used to form pictures of the anatomy and the physiological processes of the body.  The question should be understood to be asking if a pregnant mother needed an MRI, would that MRI harm her baby?	
178	exercise lower cholesterol	To be provided after evaluation.	Can exercise lower cholesterol?	Exercise is physical activity that increases the heart rate. Cholesterol is a type of lipid found in the blood. High levels of cholesterol can increase the risk of heart problems.	
179	chewing gum lose weight	To be provided after evaluation.	Can chewing gum help lose weight?	Chewing gum is a candy that you chew without swallowing.	
180	sunglasses help prevent cataracts	To be provided after evaluation.	Can sunglasses help prevent cataracts?	Sunglasses lower the amount of light that enters the eye.  Cataracts are cloudy areas in the lens of the eyes.	
181	aids chimps	To be provided after evaluation.	Did AIDS come from chimps?	Acquired immunodeficiency syndrome (AIDS) is a chronic condition caused by infection with human immunodeficiency virus (HIV). A person with AIDS has a weakened immune system, which makes it difficult to fight off other diseases. Chimp is short for chimpanzee, which is a type of great ape.	
182	too much water	To be provided after evaluation.	Is too much water bad for you?	This question is asking if it is possible for people to drink so much water that it becomes harmful.	
183	HIV from sweat	To be provided after evaluation.	Can HIV be transmitted through sweat?	HIV is short for human immunodeficiency virus. Humans perspire, or sweat, by excreting a fluid from the skin, which then evaporates and cools the body.  While it is well-known that HIV can be transmitted via many body fluids, this question is asking if it is possible for HIV to be transmitted via sweat.	
184	himalayan salt lamps health benefits	To be provided after evaluation.	Do Himalayan salt lamps have health benefits?	Himalayan salt lamps are amber-colored chunks of rock salt that are hollowed out so that a light bulb can fit inside. This question is asking if these lamps have health benefits such as cleaning the air, helping with allergies, boosting mood, and improving sleep.	
185	get pregnant while breastfeeding	To be provided after evaluation.	Can a woman get pregnant while breastfeeding?	Breastfeeding is the action of feeding human breast milk to a baby.  This question is asking if a mother, who is still breastfeeding a baby, can get pregnant or if breastfeeding will act as birth control and prevent pregnancy.	
186	statins permanent cognitive impairment	To be provided after evaluation.	Can statins cause permanent cognitive impairment?	Statins are drugs taken to lower cholesterol.  Cognitive impairment includes problems such as memory loss and confusion.	
187	vitamin C prevent colds	To be provided after evaluation.	Does Vitamin C prevent colds?	Vitamin-C is a vitamin found in citrus fruits and vegetables and can also be taken as a supplement. It is important for many body functions such as repairing of body tissue and growth. A cold is an upper respiratory tract infection caused by virus. The question is asking if consumption of vitamin C, in some way, can prevent one from catching a cold.	
188	coffee weight loss	To be provided after evaluation.	Can coffee help you lose weight?	Coffee is a commonly consumed drink made using hot water and ground coffee beans.  This question is asking if consuming coffee, in some way, could aid weight loss.	
189	lemon water belly fat	To be provided after evaluation.	Does drinking lemon water help with belly fat?	Lemon water is lemon juice combined with hot or cold water.  The question is asking if drinking lemon water can help a person lose fat around their belly.	
190	deli meat colon cancer	To be provided after evaluation.	Does deli meat increase your risk of colon cancer?	Deli meats are meats that are processed to increase their storage life via curing or other methods and are commonly also known as lunch meats or cold cuts and used for sandwiches.  Colon cancer is cancer of the colon (large intestine).  The question is asking if consumption of deli meat will increase the risk that a person develops colon cancer.	
191	skin tags contagious	To be provided after evaluation.	Are skin tags contagious?	Skin tags are small growths on the skin. The question is asking if one person with skin tags can somehow spread the tags to another person.	
192	oil pulling cavities	To be provided after evaluation.	Can oil pulling heal cavities?	Oil pulling is a traditional folk remedy, in which an edible oil is swished around the mouth for a period of time and then spat out. Cavities are areas of tooth decay.	
193	high fiber diet hemorrhoids	To be provided after evaluation.	Does a high fiber diet help with hemorrhoids?	Fiber is part of plant foods that the body cannot digest. A high-fiber diet is one that includes as much or more than the recommended amount of fiber. Hemorrhoids is an uncomfortable and sometimes painful health condition that happens when veins in and around the rectum and anus get swollen.	
194	grapefruit interfere medication	To be provided after evaluation.	Can grapefruit interfere with medication?	This question is asking if eating grapefruit and taking medication at the same time can have negative consequences because the grapefruit affects the function of the medication.	
195	vape pens harmful	To be provided after evaluation.	Can vape pens be harmful?	A vape pen or electronic cigarette is an electronic device that simulates tobacco smoking. It consists of an atomizer, a power source such as a battery, and a container such as a cartridge or tank.  The question is asking if using a vape pen, i.e. vaping, is harmful to one's health.	
196	bananas diabetes	To be provided after evaluation.	Do bananas increase the risk of diabetes?	Bananas are a fruit.  Diabetes is a disease that affects a person's ability to use sugar. The question is asking if consumption of bananas as part of one's diet will increase one's risk of developing diabetes.	
197	wifi health	To be provided after evaluation.	Is wifi harmful for health?	WiFi is a family of wireless network protocols, which are commonly used for local area networking of devices and Internet access, allowing nearby digital devices to exchange data by radio waves.  The question is asking if exposure to wifi radio waves could be harmful to health.	
198	apple cider vinegar weight loss	To be provided after evaluation.	Does drinking apple cider vinegar help lose weight?	Apple cider vinegar (ACV) is a type of vinegar used in cooking.  The apple cider vinegar diet involves consumption of a couple of tablespoons of ACV each day.  This question is asking if the ACV diet helps people lose weight.	
199	ginger nausea	To be provided after evaluation.	Does ginger help with nausea?	Ginger is a root used in cooking. Nausea is a condition of uneasiness of the stomach where one feels like vomiting but doesn't necessarily vomit.  The question is asking if ginger can be used in some way, for example by consumption, to prevent, reduce, or end a person's nausea.	
200	cold sore genital herpes	To be provided after evaluation.	Can a cold sore cause genital herpes?	Oral herpes can produce cold sores on or around the mouth.  Genital herpes is caused by infection by herpes simplex virus types 1 and 2 (HSV-1 and HSV-2).  Oral herpes is caused by HSV-1.  The question is asking if someone with oral herpes could infect another person with genital herpes via oral sex.	
